designation,mass,area,i,radius
HSS 305x305x13,113,14400,202,118
HSS 305x305x11,100,12800,181,119
HSS 305x305x9.5,86.5,11000,158,120
HSS 305x305x8.0,72.8,9280,135,121
HSS 305x305x6.4,58.7,7480,110,121
HSS 254x254x13,93.0,11800,113,97.6
HSS 254x254x11,82.4,10500,102,98.4
HSS 254x254x9.5,71.3,9090,89.3,99.1
HSS 254x254x8.0,60.1,7660,76.5,99.9
HSS 254x254x6.4,48.6,6190,62.7,101
HSS 203x203x13,72.7,9260,54.7,76.8
HSS 203x203x11,64.6,8230,49.6,77.6
HSS 203x203x9.5,56.1,7150,43.9,78.4
HSS 203x203x8.0,47.5,6050,37.9,79.2
HSS 203x203x6.4,38.4,4900,31.3,79.9
HSS 178x178x13,62.6,7970,35.2,66.4
HSS 178x178x11,55.7,7100,32.1,67.2
HSS 178x178x9.5,48.5,6180,28.6,68
HSS 178x178x8.0,41.1,5240,24.8,68.8
HSS 178x178x6.4,33.4,4250,20.6,69.6
HSS 178x178x4.8,25.5,3250,16.1,70.3
HSS 152x152x13,52.4,6680,21,56
HSS 152x152x11,46.9,5970,19.3,56.8
HSS 152x152x9.5,40.9,5210,17.3,57.6
HSS 152x152x8.0,34.8,4430,15.1,58.4
HSS 152x152x6.4,28.3,3610,12.6,59.2
HSS 152x152x4.8,21.7,2760,9.93,59.9